"","Name","UCSC_RefGene_Name","UCSC_RefGene_Group"
"cg09032544","cg09032544","CD247;CD247","Body;Body"
"cg09993145","cg09993145","RUNX3","TSS1500"
"cg13785123","cg13785123","ENO1","Body"
"cg24294159","cg24294159","LASS2;LASS2","TSS200;TSS200"
"cg14927405","cg14927405","",""
"cg21333217","cg21333217","PLXND1","Body"
"cg23819411","cg23819411","MCF2L2","Body"
"cg02722672","cg02722672","GRK4;GRK4;GRK4","Body;Body;Body"
"cg09510269","cg09510269","HCG18;HCG18","Body;Body"
"cg13584784","cg13584784","C6orf136;C6orf136;C6orf136","Body;Body;Body"
"cg01370437","cg01370437","PTPRN2;PTPRN2;PTPRN2","Body;Body;Body"
"cg02665297","cg02665297","WIPI2;WIPI2;WIPI2;WIPI2;WIPI2","3'UTR;3'UTR;3'UTR;3'UTR;3'UTR"
"cg04836151","cg04836151","",""
"cg25131632","cg25131632","",""
"cg22749642","cg22749642","TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4","5'UTR;Body;Body;Body;Body;Body;Body"
"cg07679948","cg07679948","DGKA;DGKA;DGKA;DGKA","5'UTR;5'UTR;5'UTR;5'UTR"
"cg04828493","cg04828493","CARS2","Body"
"cg07015803","cg07015803","BCL11B;BCL11B","Body;Body"
"cg16452866","cg16452866","BCL11B;BCL11B","Body;Body"
"cg10342963","cg10342963","IGF1R","Body"
"cg12655112","cg12655112","EHD4","Body"
"cg02586198","cg02586198","MAZ;MAZ","Body;Body"
"cg17655527","cg17655527","",""
"cg25605731","cg25605731","CALR","Body"
"cg01012879","cg01012879","ADSS","Body"
"cg01024458","cg01024458","RERE;RERE","Body;Body"
"cg01742370","cg01742370","C1orf69","TSS1500"
"cg03538296","cg03538296","KIAA1026;KIAA1026;KIAA1026;KIAA1026;KIAA1026","Body;3'UTR;3'UTR;3'UTR;3'UTR"
"cg04244970","cg04244970","SLAMF7","TSS200"
"cg04323427","cg04323427","C1orf94;C1orf94;C1orf94","5'UTR;1stExon;5'UTR"
"cg04605532","cg04605532","",""
"cg06829969","cg06829969","PGD","Body"
"cg07356342","cg07356342","NDUFS2;NDUFS2;FCER1G","3'UTR;Body;TSS1500"
"cg07837085","cg07837085","SLAMF7","TSS200"
"cg08538581","cg08538581","",""
"cg08884752","cg08884752","SKI","Body"
"cg08939052","cg08939052","",""
"cg11193201","cg11193201","FCRLA","Body"
"cg12101498","cg12101498","PPPDE1","Body"
"cg12465678","cg12465678","FGR;FGR;FGR","TSS1500;5'UTR;TSS1500"
"cg13178361","cg13178361","UAP1","5'UTR"
"cg14278300","cg14278300","CD247;CD247","Body;Body"
"cg14985891","cg14985891","CASQ2","Body"
"cg15036529","cg15036529","PYHIN1;PYHIN1;PYHIN1;PYHIN1","TSS1500;TSS1500;TSS1500;TSS1500"
